Reference,Pad,X_mm,KiCad_Y_mm,Excellon_Y_mm,Hole_X_mm,Hole_Y_mm,Rotation_degrees,Treatment
MB6_4,,144.5,19.9,-19.9,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB3_2,,6.5,82.9,-82.9,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB8_1,,133.8,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB1_2,,30.1,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB7_1,,103.8,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB6_2,,144.5,18.1,-18.1,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB4_4,,87.5,93.9,-93.9,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB8_5,,130.199999,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB10_3,,106.5,83.0,-83.0,0.6,0.6,0.0,NPTH - LEAVE OPEN
TOOL4,,148.5,136.5,-136.5,2.0,2.0,0.0,NPTH - LEAVE OPEN
MB10_4,,106.5,83.9,-83.9,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB9_5,,91.5,81.2,-81.2,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB9_4,,91.5,82.1,-82.1,0.6,0.6,0.0,NPTH - LEAVE OPEN
TOOL1,,2.5,2.5,-2.5,2.0,2.0,0.0,NPTH - LEAVE OPEN
MB9_2,,91.5,83.9,-83.9,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB2_5,,65.8,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB4_1,,87.5,91.2,-91.2,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB2_4,,64.9,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB3_5,,6.5,80.2,-80.2,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB1_3,,31.0,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB7_5,,100.2,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB10_2,,106.5,82.1,-82.1,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB9_1,,91.5,84.8,-84.8,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB6_1,,144.5,17.2,-17.2,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB10_5,,106.5,84.8,-84.8,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB1_1,,29.2,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB2_3,,64.0,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB8_2,,132.9,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
TOOL3,,2.5,136.5,-136.5,2.0,2.0,0.0,NPTH - LEAVE OPEN
MB5_2,,97.1,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB5_4,,98.9,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB7_2,,102.9,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB9_3,,91.5,83.0,-83.0,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB4_5,,87.5,94.8,-94.8,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB6_3,,144.5,19.0,-19.0,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB8_4,,131.1,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
TOOL2,,148.5,2.5,-2.5,2.0,2.0,0.0,NPTH - LEAVE OPEN
MB4_2,,87.5,92.1,-92.1,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB3_1,,6.5,83.8,-83.8,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB5_3,,98.0,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB4_3,,87.5,93.0,-93.0,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB7_4,,101.1,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB2_2,,63.1,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB6_5,,144.5,20.8,-20.8,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB5_5,,99.8,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB1_5,,32.799999,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB8_3,,132.0,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB1_4,,31.9,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB7_3,,102.0,67.5,-67.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB3_3,,6.5,82.0,-82.0,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB10_1,,106.5,81.2,-81.2,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB2_1,,62.2,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB3_4,,6.5,81.1,-81.1,0.6,0.6,0.0,NPTH - LEAVE OPEN
MB5_1,,96.2,6.5,-6.5,0.6,0.6,0.0,NPTH - LEAVE OPEN
M_J1,,49.89,13.6,-13.6,0.65,0.65,180.0,NPTH - LEAVE OPEN
M_J1,,44.11,13.6,-13.6,0.65,0.65,180.0,NPTH - LEAVE OPEN
M_J1,SH,51.32,14.13,-14.13,0.6,1.7,180.0,PLATED - LEAVE OPEN
M_J1,SH,51.32,9.95,-9.95,0.6,1.2,180.0,PLATED - LEAVE OPEN
M_J1,SH,42.68,14.13,-14.13,0.6,1.7,180.0,PLATED - LEAVE OPEN
M_J1,SH,42.68,9.95,-9.95,0.6,1.2,180.0,PLATED - LEAVE OPEN
W_J5,1,114.46,60.0,-60.0,1.0,1.0,0.0,PLATED - LEAVE OPEN
W_J5,2,117.0,60.0,-60.0,1.0,1.0,0.0,PLATED - LEAVE OPEN
W_J5,3,119.54,60.0,-60.0,1.0,1.0,0.0,PLATED - LEAVE OPEN
M_U35,1,52.85,85.16,-85.16,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,2,52.85,83.38,-83.38,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,3,52.85,81.6,-81.6,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,4,52.85,79.82,-79.82,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,5,52.85,78.04,-78.04,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,6,52.85,76.26,-76.26,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,7,52.85,74.48,-74.48,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,8,52.85,72.7,-72.7,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,9,42.15,71.81,-71.81,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,10,42.15,73.59,-73.59,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,11,42.15,75.37,-75.37,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,12,42.15,77.15,-77.15,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,13,42.15,78.93,-78.93,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,14,42.15,80.71,-80.71,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,15,42.15,82.49,-82.49,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_U35,16,42.15,84.27,-84.27,0.7,0.7,270.0,PLATED - LEAVE OPEN
M_J4,1,68.73,42.5,-42.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
M_J4,2,71.27,42.5,-42.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
M_J3,1,22.73,67.5,-67.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
M_J3,2,25.27,67.5,-67.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
M_J10,1,79.27,49.0,-49.0,1.1,1.1,180.0,PLATED - LEAVE OPEN
M_J10,2,76.73,49.0,-49.0,1.1,1.1,180.0,PLATED - LEAVE OPEN
M_J2,1,22.73,42.5,-42.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
M_J2,2,25.27,42.5,-42.5,1.1,1.1,0.0,PLATED - LEAVE OPEN
W_J11,1,98.27,17.35,-17.35,1.1,1.1,180.0,PLATED - LEAVE OPEN
W_J11,2,95.73,17.35,-17.35,1.1,1.1,180.0,PLATED - LEAVE OPEN
