Harness,From,To,Signal,Length_mm,Wire,From_pad_X_mm,From_pad_Y_mm,To_pad_X_mm,To_pad_Y_mm,Check
Soldered ribbon,Main/J8.1,Wheel/J9.30,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,45.72,17.72,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.2,Wheel/J9.29,SPI_SCLK,150,30-way AWG28 ribbon; retain all ground conductors,72.23,45.72,17.72,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.3,Wheel/J9.28,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,48.26,20.26,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.4,Wheel/J9.27,SPI_MOSI,150,30-way AWG28 ribbon; retain all ground conductors,72.23,48.26,20.26,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.5,Wheel/J9.26,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,50.8,22.8,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.6,Wheel/J9.25,CS_DRV8316,150,30-way AWG28 ribbon; retain all ground conductors,72.23,50.8,22.8,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.7,Wheel/J9.24,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,53.34,25.34,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.8,Wheel/J9.23,DRV_MISO_LOCAL,150,30-way AWG28 ribbon; retain all ground conductors,72.23,53.34,25.34,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.9,Wheel/J9.22,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,55.88,27.88,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.10,Wheel/J9.21,MOTOR_SPI_SCLK,150,30-way AWG28 ribbon; retain all ground conductors,72.23,55.88,27.88,5.27,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
Soldered ribbon,Main/J8.11,Wheel/J9.20,GND,150,30-way AWG28 ribbon; retain all ground conductors,74.77,58.42,30.42,2.73,Unpowered continuity by pad number; no adjacent-contact shorts; view coordinates are component-side
