Board,Reference,MPN,Footprint,Apertures,Minimum_area_ratio,Datasheet,Disposition
Main,D5,SK6805-EC15,OPSCO_SK6805_EC15,4,1.375,https://datasheet.lcsc.com/datasheet/pdf/0f4b58ac8908ccf8037b2d7ca0ec1e91.pdf?productCode=C2890035,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R8,0603WAF1002T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,U16,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,14,1.6246,https://www.ti.com/lit/ds/symlink/sn74lvc08a.pdf,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,U18,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,14,1.6246,https://www.ti.com/lit/ds/symlink/sn74lvc08a.pdf,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,C85,CC0603KRX7R9BB104,C_0603_1608Metric,2,2.4478,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,C33,CC0603KRX7R9BB104,C_0603_1608Metric,2,2.4478,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,C37,CL21A106KAYNNNE,C_0805_2012Metric,2,3.1224,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,U38,TPS22918DBVR,SOT-23-6,6,2.1587,https://www.ti.com/lit/ds/symlink/tps22918.pdf,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R28,0603WAF1001T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,Q2,2N7002,SOT-23,3,2.2236,https://www.jscj-elec.com/gallery/file/2N7002%20SOT-23%20V2.0.pdf,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R65,0603WAF2212T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R110,0603WAF1003T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R143,0603WAF3302T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R125,0603WAF0000T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
Main,R64,0603WAF1001T5E,R_0603_1608Metric,2,2.2978,,See STENCIL_REVIEW.md; package evidence and lot/reflow limits are separate from geometric pass
