Board,Reference,Pad,Net,Copper_area_mm2,Paste_on_land_mm2,Coverage_percent,Volume_on_land_mm3
Main,D5,1,RGB_DIN,0.3025,0.3025,100.0,0.03025
Main,D5,2,RGB_5V,0.3025,0.3025,100.0,0.03025
Main,D5,3,unconnected-(D5-DOUT-Pad3),0.3025,0.3025,100.0,0.03025
Main,D5,4,GND,0.3025,0.3025,100.0,0.03025
Main,R8,1,BTN_L_IN1,0.72485,0.72485,100.0,0.072485
Main,R8,2,GND,0.72485,0.72485,100.0,0.072485
Main,U16,1,SOURCE_OK,0.581041,0.581041,100.0,0.058104
Main,U16,2,ACT_REQ,0.581041,0.581041,100.0,0.058104
Main,U16,3,ARM_SOURCE,0.581041,0.581041,100.0,0.058104
Main,U16,4,ARM_SOURCE,0.581041,0.581041,100.0,0.058104
Main,U16,5,HALL_EN,0.581041,0.581041,100.0,0.058104
Main,U16,6,ARM_VALID,0.581041,0.581041,100.0,0.058104
Main,U16,7,GND,0.581041,0.581041,100.0,0.058104
Main,U16,8,SOURCE_3A,0.581041,0.581041,100.0,0.058104
Main,U16,9,SOURCE_OK,0.581041,0.581041,100.0,0.058104
Main,U16,10,CC_OUT2_INV,0.581041,0.581041,100.0,0.058104
Main,U16,11,ACT_DRIVE_EN,0.581041,0.581041,100.0,0.058104
Main,U16,12,ACT_PERMIT,0.581041,0.581041,100.0,0.058104
Main,U16,13,ARM_VALID,0.581041,0.581041,100.0,0.058104
Main,U16,14,+3V3,0.581041,0.581041,100.0,0.058104
Main,U18,1,BTN_R_CMD1,0.581041,0.581041,100.0,0.058104
Main,U18,2,ACT_DRIVE_EN,0.581041,0.581041,100.0,0.058104
Main,U18,3,BTN_R_IN1,0.581041,0.581041,100.0,0.058104
Main,U18,4,BTN_R_CMD2,0.581041,0.581041,100.0,0.058104
Main,U18,5,ACT_DRIVE_EN,0.581041,0.581041,100.0,0.058104
Main,U18,6,BTN_R_IN2,0.581041,0.581041,100.0,0.058104
Main,U18,7,GND,0.581041,0.581041,100.0,0.058104
Main,U18,8,HALL_EN,0.581041,0.581041,100.0,0.058104
Main,U18,9,SENS_REQ,0.581041,0.581041,100.0,0.058104
Main,U18,10,MCU_EN,0.581041,0.581041,100.0,0.058104
Main,U18,11,unconnected-(U18-4Y-Pad11),0.581041,0.581041,100.0,0.058104
Main,U18,12,GND,0.581041,0.581041,100.0,0.058104
Main,U18,13,GND,0.581041,0.581041,100.0,0.058104
Main,U18,14,+3V3,0.581041,0.581041,100.0,0.058104
Main,C85,1,OPT_VDDPIX,0.810672,0.810672,100.0,0.081067
Main,C85,2,GND,0.810672,0.810672,100.0,0.081067
Main,C33,1,USB_IMON_ADC,0.810672,0.810672,100.0,0.081067
Main,C33,2,GND,0.810672,0.810672,100.0,0.081067
Main,C37,1,ACT_5V,1.395346,1.395346,100.0,0.139535
Main,C37,2,GND,1.395346,1.395346,100.0,0.139535
Main,U38,1,+3V3,0.775088,0.775088,100.0,0.077509
Main,U38,2,GND,0.775088,0.775088,100.0,0.077509
Main,U38,3,HALL_EN,0.775088,0.775088,100.0,0.077509
Main,U38,4,OPT_RAMP_CT,0.775088,0.775088,100.0,0.077509
Main,U38,5,unconnected-(U38-QOD-Pad5),0.775088,0.775088,100.0,0.077509
Main,U38,6,OPT_3V3,0.775088,0.775088,100.0,0.077509
Main,R28,1,LOGIC_PG,0.72485,0.72485,100.0,0.072485
Main,R28,2,MCU_EN,0.72485,0.72485,100.0,0.072485
Main,Q2,1,SOURCE_3A,0.865088,0.865088,100.0,0.086509
Main,Q2,2,GND,0.865088,0.865088,100.0,0.086509
Main,Q2,3,ILM_HIGH_D,0.865088,0.865088,100.0,0.086509
Main,R65,1,VBUS_USB,0.72485,0.72485,100.0,0.072485
Main,R65,2,VBUS_GATE,0.72485,0.72485,100.0,0.072485
Main,R110,1,HALL_EN,0.72485,0.72485,100.0,0.072485
Main,R110,2,GND,0.72485,0.72485,100.0,0.072485
Main,R143,1,ADC2_MISO_LOCAL,0.72485,0.72485,100.0,0.072485
Main,R143,2,GND,0.72485,0.72485,100.0,0.072485
Main,R125,1,ENC_QOD,0.72485,0.72485,100.0,0.072485
Main,R125,2,ENC_3V3,0.72485,0.72485,100.0,0.072485
Main,R64,1,USB_IMON_BUF,0.72485,0.72485,100.0,0.072485
Main,R64,2,USB_IMON_ADC,0.72485,0.72485,100.0,0.072485
Main,U7,1,+3V3,0.133935,0.133935,100.0,0.013394
Main,U7,2,GND,0.133935,0.133935,100.0,0.013394
Main,U7,3,HALL_EN,0.133935,0.133935,100.0,0.013394
Main,U7,4,HALL_L,0.133935,0.133935,100.0,0.013394
Main,U7,5,GND,0.48,0.430854,89.76,0.043085
Main,C9,1,BTN_L_VREF,0.810672,0.810672,100.0,0.081067
Main,C9,2,GND,0.810672,0.810672,100.0,0.081067
Main,U37,1,CS_PAW,0.581041,0.581041,100.0,0.058104
Main,U37,2,SPI_MOSI,0.581041,0.581041,100.0,0.058104
Main,U37,3,OPT_MOSI,0.581041,0.581041,100.0,0.058104
Main,U37,4,CS_PAW,0.581041,0.581041,100.0,0.058104
Main,U37,5,SPI_SCLK,0.581041,0.581041,100.0,0.058104
Main,U37,6,OPT_SCLK,0.581041,0.581041,100.0,0.058104
Main,U37,7,GND,0.581041,0.581041,100.0,0.058104
