Board,Reference,Pad,Primitive_count,Area_mm2,Perimeter_mm,Thickness_mm,Polygon_wkt,Volume_mm3,Area_ratio,X_mm,Y_mm,Rotation_deg,Status
Main,D5,1,1,0.3025,2.2,0.1,"POLYGON ((41.5 26.95, 42.05 26.95, 42.05 27.5, 41.5 27.5, 41.5 26.95))",0.03025,1.375,41.775,27.22500000000001,0.0,Geometric release screen passes
Main,D5,2,1,0.3025,2.2,0.1,"POLYGON ((42.45 26.95, 43 26.95, 43 27.5, 42.45 27.5, 42.45 26.95))",0.03025,1.375,42.725,27.22500000000001,0.0,Geometric release screen passes
Main,D5,3,1,0.3025,2.2,0.1,"POLYGON ((42.45 26, 43 26, 43 26.55, 42.45 26.55, 42.45 26))",0.03025,1.375,42.725,26.274999999999995,0.0,Geometric release screen passes
Main,D5,4,1,0.3025,2.2,0.1,"POLYGON ((41.5 26, 42.05 26, 42.05 26.55, 41.5 26.55, 41.5 26))",0.03025,1.375,41.775,26.274999999999995,0.0,Geometric release screen passes
Main,R8,1,1,0.72485,3.154601,0.1,"POLYGON ((13.725 46.225, 13.689716 46.221863, 13.65081 46.210731, 13.614941 46.191994, 13.583579 46.166421, 13.558006 46.135059, 13.539269 46.09919, 13.528137 46.060284, 13.525 46.025, 13.525 45.625, 13.528137 45.589716, 13.539269 45.55081, 13.558006 45.514941, 13.583579 45.483579, 13.614941 45.458006, 13.65081 45.439269, 13.689716 45.428137, 13.725 45.425, 14.275 45.425, 14.310284 45.428137, 14.34919 45.439269, 14.385059 45.458006, 14.416421 45.483579, 14.441994 45.514941, 14.460731 45.55081, 14.471863 45.589716, 14.475 45.625, 14.475 46.025, 14.471863 46.060284, 14.460731 46.09919, 14.441994 46.135059, 14.416421 46.166421, 14.385059 46.191994, 14.34919 46.210731, 14.310284 46.221863, 14.275 46.225, 13.725 46.225))",0.072485,2.2978,14.000000000000002,45.82499999999999,90.0,Geometric release screen passes
Main,R8,2,1,0.72485,3.154601,0.1,"POLYGON ((13.725 44.575, 13.689716 44.571863, 13.65081 44.560731, 13.614941 44.541994, 13.583579 44.516421, 13.558006 44.485059, 13.539269 44.44919, 13.528137 44.410284, 13.525 44.375, 13.525 43.975, 13.528137 43.939716, 13.539269 43.90081, 13.558006 43.864941, 13.583579 43.833579, 13.614941 43.808006, 13.65081 43.789269, 13.689716 43.778137, 13.725 43.775, 14.275 43.775, 14.310284 43.778137, 14.34919 43.789269, 14.385059 43.808006, 14.416421 43.833579, 14.441994 43.864941, 14.460731 43.90081, 14.471863 43.939716, 14.475 43.975, 14.475 44.375, 14.471863 44.410284, 14.460731 44.44919, 14.441994 44.485059, 14.416421 44.516421, 14.385059 44.541994, 14.34919 44.560731, 14.310284 44.571863, 14.275 44.575, 13.725 44.575))",0.072485,2.2978,14.000000000000002,44.17499999999999,90.0,Geometric release screen passes
Main,U16,1,1,0.581041,3.576441,0.1,"POLYGON ((12.4 86.95, 12.402285 86.928743, 12.412232 86.902075, 12.429289 86.879289, 12.452075 86.862232, 12.478743 86.852285, 12.5 86.85, 13.775 86.85, 13.796257 86.852285, 13.822925 86.862232, 13.845711 86.879289, 13.862768 86.902075, 13.872715 86.928743, 13.875 86.95, 13.875 87.15, 13.872715 87.171257, 13.862768 87.197925, 13.845711 87.220711, 13.822925 87.237768, 13.796257 87.247715, 13.775 87.25, 12.5 87.25, 12.478743 87.247715, 12.452075 87.237768, 12.429289 87.220711, 12.412232 87.197925, 12.402285 87.171257, 12.4 87.15, 12.4 86.95))",0.058104,1.6246,13.137500000000001,87.04999999999998,0.0,Geometric release screen passes
Main,U16,2,1,0.581041,3.576441,0.1,"POLYGON ((12.4 87.6, 12.402285 87.578743, 12.412232 87.552075, 12.429289 87.529289, 12.452075 87.512232, 12.478743 87.502285, 12.5 87.5, 13.775 87.5, 13.796257 87.502285, 13.822925 87.512232, 13.845711 87.529289, 13.862768 87.552075, 13.872715 87.578743, 13.875 87.6, 13.875 87.8, 13.872715 87.821257, 13.862768 87.847925, 13.845711 87.870711, 13.822925 87.887768, 13.796257 87.897715, 13.775 87.9, 12.5 87.9, 12.478743 87.897715, 12.452075 87.887768, 12.429289 87.870711, 12.412232 87.847925, 12.402285 87.821257, 12.4 87.8, 12.4 87.6))",0.058104,1.6246,13.137499999999992,87.69999999999999,0.0,Geometric release screen passes
Main,U16,3,1,0.581041,3.576441,0.1,"POLYGON ((12.4 88.25, 12.402285 88.228743, 12.412232 88.202075, 12.429289 88.179289, 12.452075 88.162232, 12.478743 88.152285, 12.5 88.15, 13.775 88.15, 13.796257 88.152285, 13.822925 88.162232, 13.845711 88.179289, 13.862768 88.202075, 13.872715 88.228743, 13.875 88.25, 13.875 88.45, 13.872715 88.471257, 13.862768 88.497925, 13.845711 88.520711, 13.822925 88.537768, 13.796257 88.547715, 13.775 88.55, 12.5 88.55, 12.478743 88.547715, 12.452075 88.537768, 12.429289 88.520711, 12.412232 88.497925, 12.402285 88.471257, 12.4 88.45, 12.4 88.25))",0.058104,1.6246,13.137500000000001,88.35000000000001,0.0,Geometric release screen passes
Main,U16,4,1,0.581041,3.576441,0.1,"POLYGON ((12.4 88.9, 12.402285 88.878743, 12.412232 88.852075, 12.429289 88.829289, 12.452075 88.812232, 12.478743 88.802285, 12.5 88.8, 13.775 88.8, 13.796257 88.802285, 13.822925 88.812232, 13.845711 88.829289, 13.862768 88.852075, 13.872715 88.878743, 13.875 88.9, 13.875 89.1, 13.872715 89.121257, 13.862768 89.147925, 13.845711 89.170711, 13.822925 89.187768, 13.796257 89.197715, 13.775 89.2, 12.5 89.2, 12.478743 89.197715, 12.452075 89.187768, 12.429289 89.170711, 12.412232 89.147925, 12.402285 89.121257, 12.4 89.1, 12.4 88.9))",0.058104,1.6246,13.137500000000003,89.00000000000001,0.0,Geometric release screen passes
