Board,Reference,MPN,Footprint,Method,Hidden_pad_review,Pin1_X_mm,Pin1_Y_mm,Rotation_deg,Inspection,Profile_MSL_review
Main,D5,SK6805-EC15,OPSCO_SK6805_EC15,TOP SMT REFLOW,Check manufacturer drawing,41.775,27.225,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U16,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,13.1375,87.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U18,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,55.1375,93.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U38,TPS22918DBVR,SOT-23-6,TOP SMT REFLOW,Check manufacturer drawing,27.1125,72.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,Q2,2N7002,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,31.9375,33.7,180.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U7,TMAG5253BA2IQDMRR,Texas_X2SON-4-1EP_1.1x1.4mm_P0.5mm_EP0.8x0.6mm,TOP SMT REFLOW,REQUIRED,16.75,40.725,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U37,SN74LVC125APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,37.6375,55.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U1,TPD2EUSB30DRTR,Texas_DRT-3,TOP SMT REFLOW,Check manufacturer drawing,39.65,25.425,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U2,TPS62162DSGR,Texas_DSG0008A_WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,TOP SMT REFLOW,REQUIRED,59.55,25.25,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,Q3,2N7002,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,55.0625,40.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,D3,BAT54-7-F,SOT-23,TOP SMT REFLOW,Check manufacturer drawing,65.85,61.0375,90.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,U17,SN74LVC08APWR,TSSOP-14_4.4x5mm_P0.65mm,TOP SMT REFLOW,Check manufacturer drawing,13.1375,95.05,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
Main,J8,FH12-30S-0.5SH(55),Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal,TOP SMT REFLOW,Check manufacturer drawing,55.75,68.15,0.0,Compare package marking/polarity to numbered pads; underside joint quality is not visually established,OPEN: record received packaging limits before assembly
