board,reference,panel_reference,mpn,purchase_mpn,method
Main,C1,M_C1,CL21A106KAYNNNE,CL21A106KAYNNNE,TOP SMT REFLOW
Main,C2,M_C2,CL21A106KAYNNNE,CL21A106KAYNNNE,TOP SMT REFLOW
Main,C3,M_C3,CL21A106KAYNNNE,CL21A106KAYNNNE,TOP SMT REFLOW
Main,C22,M_C22,CC0603KRX7R9BB104,CC0603KRX7R9BB104,TOP SMT REFLOW
Main,C23,M_C23,CL21A106KAYNNNE,CL21A106KAYNNNE,TOP SMT REFLOW
Main,J1,M_J1,TYPE-C-31-M-12,TYPE-C-31-M-12,TOP SMT REFLOW
Main,L1,M_L1,SWPA4020S3R3MT,SWPA4020S3R3MT,TOP SMT REFLOW
Main,R25,M_R25,0603WAF8873T5E,CRCW0603887KFKEA,TOP SMT REFLOW
Main,R26,M_R26,0603WAF1003T5E,0603WAF1003T5E,TOP SMT REFLOW
Main,R27,M_R27,0603WAF1003T5E,0603WAF1003T5E,TOP SMT REFLOW
Main,R28,M_R28,0603WAF1001T5E,0603WAF1001T5E,TOP SMT REFLOW
Main,U1,M_U1,TPD2EUSB30DRTR,TPD2EUSB30DRTR,TOP SMT REFLOW
Main,U2,M_U2,TPS62162DSGR,TPS62162DSGR,TOP SMT REFLOW
Main,U11,M_U11,TUSB320LAIRWBR,TUSB320LAIRWBR,TOP SMT REFLOW
Main,U20,M_U20,TPD2E2U06DCKR,TPD2E2U06DCKR,TOP SMT REFLOW
Main,C4,M_C4,CL10A105KB8NNNC,CL10A105KB8NNNC,TOP SMT REFLOW
Main,C5,M_C5,CL21A106KAYNNNE,CL21A106KAYNNNE,TOP SMT REFLOW
Main,C6,M_C6,CC0603KRX7R9BB104,CC0603KRX7R9BB104,TOP SMT REFLOW
Main,R3,M_R3,0603WAF1002T5E,0603WAF1002T5E,TOP SMT REFLOW
Main,R4,M_R4,0603WAF1002T5E,0603WAF1002T5E,TOP SMT REFLOW
Main,R5,M_R5,0603WAF330JT5E,0603WAF330JT5E,TOP SMT REFLOW
Main,R6,M_R6,0603WAF330JT5E,0603WAF330JT5E,TOP SMT REFLOW
Main,R7,M_R7,0603WAF1002T5E,0603WAF1002T5E,TOP SMT REFLOW
Main,SW1,M_SW1,TS-1088-AR02016,TS-1088-AR02016,TOP SMT REFLOW
