Board,Reference,Signal,Side,X_mm,Y_mm,Ground_testpoint,Ground_distance_mm,Probe_envelope_obstacles,Access,Scope
Main,TP39,RGB_DIN,F.Cu,49.0,30.75,TP9,53.372,,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP38,RGB_5V,F.Cu,49.0,28.25,TP9,55.866,,Top access; verify probe barrel clearance,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP19,OPT_CTRL,B.Cu,48.4,88.0,TP9,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP7,BOOT,B.Cu,44.7,100.8,TP15,18.315,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP15,GND,B.Cu,31.6,88.0,TP15,0.0,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP41,OPT_1V9,B.Cu,57.8,75.0,TP9,10.394,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP1,VBUS_USB,B.Cu,69.4,62.125,TP9,27.582,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP9,GND,B.Cu,52.6,84.0,TP9,0.0,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP17,WHEEL_RUN_REQ,B.Cu,57.7,78.85,TP9,7.248,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP11,PWR_5V,B.Cu,61.0,84.0,TP9,8.4,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP16,CS_PAW,B.Cu,28.75,80.9,TP15,7.651,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP5,UART_RX,B.Cu,35.8,84.0,TP15,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP3,ACT_5V,B.Cu,27.4,84.0,TP15,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP2,PWR_5V,B.Cu,62.65,80.6,TP9,10.61,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP8,+3V3,B.Cu,52.4697,95.9697,TP9,11.97,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP43,OPT_RESET_N,B.Cu,53.5,60.5,TP9,23.517,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP20,MOTOR_SPI_MOSI,B.Cu,52.6,88.0,TP9,4.0,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP40,OPT_3V3,B.Cu,61.8,75.0,TP9,12.87,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP22,MOTOR_SPI_MISO,B.Cu,61.0,88.0,TP9,9.304,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP28,DRV_FAULT_N,B.Cu,40.0,92.0,TP15,9.304,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP29,WHEEL_PWM_A,B.Cu,44.2,92.0,TP9,11.6,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP12,ACT_5V,B.Cu,19.0,88.0,TP15,12.6,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP24,CS_MA735,B.Cu,32.5,54.4,TP15,33.612,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP23,CS_ADC2,B.Cu,34.7083,86.0,TP15,3.696,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP6,MCU_EN,B.Cu,62.0,95.65,TP9,14.969,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP30,RGB_DATA,B.Cu,48.4,92.0,TP9,9.035,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP25,CS_DRV8316,B.Cu,27.4,92.0,TP15,5.8,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP33,WHEEL_PWM_C,B.Cu,61.0,92.0,TP9,11.6,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
Main,TP13,ACT_DRIVE_EN,B.Cu,53.6303,93.8303,TP9,9.884,,Tilt/remove carrier for underside probe,"0.5 mm tip-radius component-bounds screening, not 3D collision certification"
