Reference,Pad,Primitive_count,Area_mm2,Perimeter_mm,Thickness_mm,Polygon_wkt,Volume_mm3,Area_ratio,X_mm,Y_mm,Rotation_deg,Status
M_SW1,1,1,2.045346,5.668787,0.1,"POLYGON ((62.75 90.75, 62.753078 90.710891, 62.764029 90.66743, 62.782565 90.626623, 62.808089 90.589781, 62.839781 90.558089, 62.876623 90.532565, 62.91743 90.514029, 62.960891 90.503078, 63 90.5, 63.55 90.5, 63.589109 90.503078, 63.63257 90.514029, 63.673377 90.532565, 63.710219 90.558089, 63.741911 90.589781, 63.767435 90.626623, 63.785971 90.66743, 63.796922 90.710891, 63.8 90.75, 63.8 92.25, 63.796922 92.289109, 63.785971 92.33257, 63.767435 92.373377, 63.741911 92.410219, 63.710219 92.441911, 63.673377 92.467435, 63.63257 92.485971, 63.589109 92.496922, 63.55 92.5, 63 92.5, 62.960891 92.496922, 62.91743 92.485971, 62.876623 92.467435, 62.839781 92.441911, 62.808089 92.410219, 62.782565 92.373377, 62.764029 92.33257, 62.753078 92.289109, 62.75 92.25, 62.75 90.75))",0.204535,3.6081,63.27499999999999,91.5,0.0,Geometric release screen passes
M_SW1,2,1,2.045346,5.668787,0.1,"POLYGON ((67.2 90.75, 67.203078 90.710891, 67.214029 90.66743, 67.232565 90.626623, 67.258089 90.589781, 67.289781 90.558089, 67.326623 90.532565, 67.36743 90.514029, 67.410891 90.503078, 67.45 90.5, 68 90.5, 68.039109 90.503078, 68.08257 90.514029, 68.123377 90.532565, 68.160219 90.558089, 68.191911 90.589781, 68.217435 90.626623, 68.235971 90.66743, 68.246922 90.710891, 68.25 90.75, 68.25 92.25, 68.246922 92.289109, 68.235971 92.33257, 68.217435 92.373377, 68.191911 92.410219, 68.160219 92.441911, 68.123377 92.467435, 68.08257 92.485971, 68.039109 92.496922, 68 92.5, 67.45 92.5, 67.410891 92.496922, 67.36743 92.485971, 67.326623 92.467435, 67.289781 92.441911, 67.258089 92.410219, 67.232565 92.373377, 67.214029 92.33257, 67.203078 92.289109, 67.2 92.25, 67.2 90.75))",0.204535,3.6081,67.725,91.50000000000001,0.0,Geometric release screen passes
M_SW2,1,1,2.045346,5.668787,0.1,"POLYGON ((62.75 95.25, 62.753078 95.210891, 62.764029 95.16743, 62.782565 95.126623, 62.808089 95.089781, 62.839781 95.058089, 62.876623 95.032565, 62.91743 95.014029, 62.960891 95.003078, 63 95, 63.55 95, 63.589109 95.003078, 63.63257 95.014029, 63.673377 95.032565, 63.710219 95.058089, 63.741911 95.089781, 63.767435 95.126623, 63.785971 95.16743, 63.796922 95.210891, 63.8 95.25, 63.8 96.75, 63.796922 96.789109, 63.785971 96.83257, 63.767435 96.873377, 63.741911 96.910219, 63.710219 96.941911, 63.673377 96.967435, 63.63257 96.985971, 63.589109 96.996922, 63.55 97, 63 97, 62.960891 96.996922, 62.91743 96.985971, 62.876623 96.967435, 62.839781 96.941911, 62.808089 96.910219, 62.782565 96.873377, 62.764029 96.83257, 62.753078 96.789109, 62.75 96.75, 62.75 95.25))",0.204535,3.6081,63.27499999999999,96.0,0.0,Geometric release screen passes
M_SW2,2,1,2.045346,5.668787,0.1,"POLYGON ((67.2 95.25, 67.203078 95.210891, 67.214029 95.16743, 67.232565 95.126623, 67.258089 95.089781, 67.289781 95.058089, 67.326623 95.032565, 67.36743 95.014029, 67.410891 95.003078, 67.45 95, 68 95, 68.039109 95.003078, 68.08257 95.014029, 68.123377 95.032565, 68.160219 95.058089, 68.191911 95.089781, 68.217435 95.126623, 68.235971 95.16743, 68.246922 95.210891, 68.25 95.25, 68.25 96.75, 68.246922 96.789109, 68.235971 96.83257, 68.217435 96.873377, 68.191911 96.910219, 68.160219 96.941911, 68.123377 96.967435, 68.08257 96.985971, 68.039109 96.996922, 68 97, 67.45 97, 67.410891 96.996922, 67.36743 96.985971, 67.326623 96.967435, 67.289781 96.941911, 67.258089 96.910219, 67.232565 96.873377, 67.214029 96.83257, 67.203078 96.789109, 67.2 96.75, 67.2 95.25))",0.204535,3.6081,67.725,95.99999999999999,0.0,Geometric release screen passes
W_C90,1,1,5.545346,9.768787,0.1,"POLYGON ((92.45 27.45, 92.453078 27.410891, 92.464029 27.36743, 92.482565 27.326623, 92.508089 27.289781, 92.539781 27.258089, 92.576623 27.232565, 92.61743 27.214029, 92.660891 27.203078, 92.7 27.2, 95.7 27.2, 95.739109 27.203078, 95.78257 27.214029, 95.823377 27.232565, 95.860219 27.258089, 95.891911 27.289781, 95.917435 27.326623, 95.935971 27.36743, 95.946922 27.410891, 95.95 27.45, 95.95 28.55, 95.946922 28.589109, 95.935971 28.63257, 95.917435 28.673377, 95.891911 28.710219, 95.860219 28.741911, 95.823377 28.767435, 95.78257 28.785971, 95.739109 28.796922, 95.7 28.8, 92.7 28.8, 92.660891 28.796922, 92.61743 28.785971, 92.576623 28.767435, 92.539781 28.741911, 92.508089 28.710219, 92.482565 28.673377, 92.464029 28.63257, 92.453078 28.589109, 92.45 28.55, 92.45 27.45))",0.554535,5.6766,94.2,28.0,0.0,Geometric release screen passes
W_C90,2,1,5.545346,9.768787,0.1,"POLYGON ((98.05 27.45, 98.053078 27.410891, 98.064029 27.36743, 98.082565 27.326623, 98.108089 27.289781, 98.139781 27.258089, 98.176623 27.232565, 98.21743 27.214029, 98.260891 27.203078, 98.3 27.2, 101.3 27.2, 101.339109 27.203078, 101.38257 27.214029, 101.423377 27.232565, 101.460219 27.258089, 101.491911 27.289781, 101.517435 27.326623, 101.535971 27.36743, 101.546922 27.410891, 101.55 27.45, 101.55 28.55, 101.546922 28.589109, 101.535971 28.63257, 101.517435 28.673377, 101.491911 28.710219, 101.460219 28.741911, 101.423377 28.767435, 101.38257 28.785971, 101.339109 28.796922, 101.3 28.8, 98.3 28.8, 98.260891 28.796922, 98.21743 28.785971, 98.176623 28.767435, 98.139781 28.741911, 98.108089 28.710219, 98.082565 28.673377, 98.064029 28.63257, 98.053078 28.589109, 98.05 28.55, 98.05 27.45))",0.554535,5.6766,99.80000000000001,28.000000000000004,0.0,Geometric release screen passes
M_C27,1,1,0.810672,3.311779,0.1,"POLYGON ((63.775 109.75, 63.776591 109.723288, 63.785684 109.681491, 63.802522 109.642169, 63.826498 109.606745, 63.856745 109.576498, 63.892169 109.552522, 63.931491 109.535684, 63.973288 109.526591, 64 109.525, 64.45 109.525, 64.476712 109.526591, 64.518509 109.535684, 64.557831 109.552522, 64.593255 109.576498, 64.623502 109.606745, 64.647478 109.642169, 64.664316 109.681491, 64.673409 109.723288, 64.675 109.75, 64.675 110.25, 64.673409 110.276712, 64.664316 110.318509, 64.647478 110.357831, 64.623502 110.393255, 64.593255 110.423502, 64.557831 110.447478, 64.518509 110.464316, 64.476712 110.473409, 64.45 110.475, 64 110.475, 63.973288 110.473409, 63.931491 110.464316, 63.892169 110.447478, 63.856745 110.423502, 63.826498 110.393255, 63.802522 110.357831, 63.785684 110.318509, 63.776591 110.276712, 63.775 110.25, 63.775 109.75))",0.081067,2.4478,64.22500000000001,110.00000000000007,0.0,Geometric release screen passes
M_C27,2,1,0.810672,3.311779,0.1,"POLYGON ((65.325 109.75, 65.326591 109.723288, 65.335684 109.681491, 65.352522 109.642169, 65.376498 109.606745, 65.406745 109.576498, 65.442169 109.552522, 65.481491 109.535684, 65.523288 109.526591, 65.55 109.525, 66 109.525, 66.026712 109.526591, 66.068509 109.535684, 66.107831 109.552522, 66.143255 109.576498, 66.173502 109.606745, 66.197478 109.642169, 66.214316 109.681491, 66.223409 109.723288, 66.225 109.75, 66.225 110.25, 66.223409 110.276712, 66.214316 110.318509, 66.197478 110.357831, 66.173502 110.393255, 66.143255 110.423502, 66.107831 110.447478, 66.068509 110.464316, 66.026712 110.473409, 66 110.475, 65.55 110.475, 65.523288 110.473409, 65.481491 110.464316, 65.442169 110.447478, 65.406745 110.423502, 65.376498 110.393255, 65.352522 110.357831, 65.335684 110.318509, 65.326591 110.276712, 65.325 110.25, 65.325 109.75))",0.081067,2.4478,65.77500000000002,110.00000000000003,0.0,Geometric release screen passes
M_C80,1,1,0.810672,3.311779,0.1,"POLYGON ((42.575 59.35, 42.576591 59.323288, 42.585684 59.281491, 42.602522 59.242169, 42.626498 59.206745, 42.656745 59.176498, 42.692169 59.152522, 42.731491 59.135684, 42.773288 59.126591, 42.8 59.125, 43.25 59.125, 43.276712 59.126591, 43.318509 59.135684, 43.357831 59.152522, 43.393255 59.176498, 43.423502 59.206745, 43.447478 59.242169, 43.464316 59.281491, 43.473409 59.323288, 43.475 59.35, 43.475 59.85, 43.473409 59.876712, 43.464316 59.918509, 43.447478 59.957831, 43.423502 59.993255, 43.393255 60.023502, 43.357831 60.047478, 43.318509 60.064316, 43.276712 60.073409, 43.25 60.075, 42.8 60.075, 42.773288 60.073409, 42.731491 60.064316, 42.692169 60.047478, 42.656745 60.023502, 42.626498 59.993255, 42.602522 59.957831, 42.585684 59.918509, 42.576591 59.876712, 42.575 59.85, 42.575 59.35))",0.081067,2.4478,43.025,59.59999999999999,0.0,Geometric release screen passes
M_C80,2,1,0.810672,3.311779,0.1,"POLYGON ((44.125 59.35, 44.126591 59.323288, 44.135684 59.281491, 44.152522 59.242169, 44.176498 59.206745, 44.206745 59.176498, 44.242169 59.152522, 44.281491 59.135684, 44.323288 59.126591, 44.35 59.125, 44.8 59.125, 44.826712 59.126591, 44.868509 59.135684, 44.907831 59.152522, 44.943255 59.176498, 44.973502 59.206745, 44.997478 59.242169, 45.014316 59.281491, 45.023409 59.323288, 45.025 59.35, 45.025 59.85, 45.023409 59.876712, 45.014316 59.918509, 44.997478 59.957831, 44.973502 59.993255, 44.943255 60.023502, 44.907831 60.047478, 44.868509 60.064316, 44.826712 60.073409, 44.8 60.075, 44.35 60.075, 44.323288 60.073409, 44.281491 60.064316, 44.242169 60.047478, 44.206745 60.023502, 44.176498 59.993255, 44.152522 59.957831, 44.135684 59.918509, 44.126591 59.876712, 44.125 59.85, 44.125 59.35))",0.081067,2.4478,44.57500000000002,59.6,0.0,Geometric release screen passes
