Reference,Pad,Net,Copper_area_mm2,Paste_on_land_mm2,Coverage_percent,Volume_on_land_mm3
M_SW1,1,Main/MCU_EN,2.045346,2.045346,100.0,0.204535
M_SW1,2,Main/GND,2.045346,2.045346,100.0,0.204535
M_SW2,1,Main/BOOT,2.045346,2.045346,100.0,0.204535
M_SW2,2,Main/GND,2.045346,2.045346,100.0,0.204535
W_C90,1,Wheel/ACT_5V,5.545346,5.545346,100.0,0.554535
W_C90,2,Wheel/GND,5.545346,5.545346,100.0,0.554535
M_C27,1,Main/WD_RCEXT,0.810672,0.810672,100.0,0.081067
M_C27,2,Main/WD_CEXT,0.810672,0.810672,100.0,0.081067
M_C80,1,Main/OPT_3V3,0.810672,0.810672,100.0,0.081067
M_C80,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C83,1,Main/OPT_1V9,0.810672,0.810672,100.0,0.081067
M_C83,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C82,1,Main/OPT_1V9,0.810672,0.810672,100.0,0.081067
M_C82,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C29,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C29,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C18,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C18,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C48,1,Wheel/DRV_AVDD,0.810672,0.810672,100.0,0.081067
W_C48,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
W_C58,1,Wheel/ADC2_DECAP,0.810672,0.810672,100.0,0.081067
W_C58,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C89,1,Main/PWR_5V,0.810672,0.810672,100.0,0.081067
M_C89,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C41,1,Wheel/ACT_5V,0.810672,0.810672,100.0,0.081067
W_C41,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C7,1,Main/ACT_5V,0.810672,0.810672,100.0,0.081067
M_C7,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C36,1,Main/ACT_VMON,0.810672,0.810672,100.0,0.081067
M_C36,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C59,1,Wheel/WHEEL_I_A,0.810672,0.810672,100.0,0.081067
W_C59,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
W_C46,1,Wheel/WHEEL_CP,0.810672,0.810672,100.0,0.081067
W_C46,2,Wheel/ACT_5V,0.810672,0.810672,100.0,0.081067
W_C47,1,Wheel/WHEEL_CPH,0.810672,0.810672,100.0,0.081067
W_C47,2,Wheel/WHEEL_CPL,0.810672,0.810672,100.0,0.081067
M_C53,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C53,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C85,1,Main/OPT_VDDPIX,0.810672,0.810672,100.0,0.081067
M_C85,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C51,1,Wheel/+3V3,0.810672,0.810672,100.0,0.081067
W_C51,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C6,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C6,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C75,1,Main/RGB_5V,0.810672,0.810672,100.0,0.081067
M_C75,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C34,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C34,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C86,1,Main/OPT_3V3,0.810672,0.810672,100.0,0.081067
M_C86,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C25,1,Main/USB_DVDT,0.810672,0.810672,100.0,0.081067
M_C25,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C43,1,Wheel/ACT_5V,0.810672,0.810672,100.0,0.081067
W_C43,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C72,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C72,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C32,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C32,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C4,1,Main/MCU_EN,0.810672,0.810672,100.0,0.081067
M_C4,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C35,1,Main/VBUS_GATE,0.810672,0.810672,100.0,0.081067
M_C35,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C87,1,Main/OPT_3V3,0.810672,0.810672,100.0,0.081067
M_C87,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C13,1,Main/ACT_5V,0.810672,0.810672,100.0,0.081067
M_C13,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C67,1,Wheel/BRAKE_SENSE,0.810672,0.810672,100.0,0.081067
W_C67,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C19,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C19,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C16,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C16,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C28,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C28,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C81,1,Main/OPT_3V3,0.810672,0.810672,100.0,0.081067
M_C81,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C71,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C71,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C21,1,Main/ADC_DECAP,0.810672,0.810672,100.0,0.081067
M_C21,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C65,1,Wheel/ACT_5V,0.810672,0.810672,100.0,0.081067
W_C65,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C55,1,Main/ENC_3V3,0.810672,0.810672,100.0,0.081067
M_C55,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C10,1,Main/ACT_5V,0.810672,0.810672,100.0,0.081067
M_C10,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C57,1,Wheel/DRV_AVDD,0.810672,0.810672,100.0,0.081067
W_C57,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
M_C63,1,Main/+3V3,0.810672,0.810672,100.0,0.081067
M_C63,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C15,1,Main/BTN_R_VREF,0.810672,0.810672,100.0,0.081067
M_C15,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C33,1,Main/USB_IMON_ADC,0.810672,0.810672,100.0,0.081067
M_C33,2,Main/GND,0.810672,0.810672,100.0,0.081067
M_C76,1,Main/RGB_5V,0.810672,0.810672,100.0,0.081067
M_C76,2,Main/GND,0.810672,0.810672,100.0,0.081067
W_C42,1,Wheel/ACT_5V,0.810672,0.810672,100.0,0.081067
W_C42,2,Wheel/GND,0.810672,0.810672,100.0,0.081067
