Board,Support,Unit_X_mm,Unit_Y_mm,Lip_depth_mm,Contact_width_mm,Underside_exposed_pad_conflicts,Status
Main,1,24.0,0.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Main,2,57.0,0.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Main,3,0.0,75.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Main,4,80.0,86.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Wheel,1,9.0,0.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Wheel,2,55.0,12.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Wheel,3,13.0,60.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Wheel,4,43.0,60.0,0.3,5.0,,Clear in pad geometry; verify actual clip and both faces
Encoder,1,50.0,61,0.3,6,,Clear in pad geometry; verify actual clip and both faces
Encoder,2,64.0,61,0.3,6,,Clear in pad geometry; verify actual clip and both faces
