Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0001,cf5783f6-ec61-40aa-aac7-1083505cc3ec,52.0,52.0,52.0,-52.0,0.3,0.6,GND,
V0002,898b448d-7f0c-44b1-b3e9-da3919ea114a,52.0,58.0,52.0,-58.0,0.3,0.6,GND,
V0003,188a91fd-ba47-4ded-9038-f5e5e95088f0,54.0,65.5,54.0,-65.5,0.3,0.6,GND,
V0004,cdd19121-b8e7-4532-a882-47dec14287ef,54.5,60.8,54.5,-60.8,0.3,0.6,GND,
V0005,e8eab852-89ca-48f2-b20d-d0ce516693f5,55.0,56.2,55.0,-56.2,0.3,0.6,GND,
V0006,ca4a97d4-c815-48ea-b6dc-7bfb05c31661,55.25,54.0,55.25,-54.0,0.3,0.6,GND,
V0007,8522fe37-cc3f-4a12-be05-577648d3190c,55.8,51.425,55.8,-51.425,0.3,0.6,GND,
V0008,949534d3-621e-4e93-ada1-56bc5bdcd9f3,55.8,57.6,55.8,-57.6,0.3,0.6,GND,
V0009,2690d279-9812-4c86-82d2-9adaad47e558,56.5,60.8,56.5,-60.8,0.3,0.6,GND,
V0010,575b8d99-586a-477c-960f-5c223f2bc960,56.8,57.8,56.8,-57.8,0.3,0.6,ENC_MISO_LOCAL,
V0011,b3d5aabf-0c80-4b9e-8e30-d51c85abec5e,57.5,60.3,57.5,-60.3,0.3,0.6,ENC_MOSI_LOCAL,
V0012,81f3b0ad-df73-4bcc-bcec-33cd9c083714,59.2,58.6,59.2,-58.6,0.3,0.6,ENC_MOSI_LOCAL,
V0013,f8e917e0-e0e2-40e3-9a23-a50606a03493,59.5,60.8,59.5,-60.8,0.3,0.6,GND,
V0014,6c7d2fda-5840-45bb-873e-73d9be2290ef,60.0,65.5,60.0,-65.5,0.3,0.6,GND,
V0015,3c36b429-96e7-4254-be83-974b0375aec5,60.5,60.8,60.5,-60.8,0.3,0.6,ENC_MISO_LOCAL,
V0016,c683439b-5bbb-4640-9778-c69dc43c2aee,62.0,52.0,62.0,-52.0,0.3,0.6,GND,
V0017,75d6d44e-fadf-4c39-8248-aed129386774,62.0,58.0,62.0,-58.0,0.3,0.6,GND,
