Designator,Mid X,Mid Y,Rotation,Layer
C1,57.900000mm,-25.500000mm,90.000000,top
C2,67.700000mm,-25.500000mm,270.000000,top
C3,64.500000mm,-28.700000mm,0.000000,top
C4,53.000000mm,-89.000000mm,90.000000,top
C5,50.000000mm,-97.500000mm,90.000000,top
C6,50.000000mm,-101.000000mm,90.000000,top
C7,20.000000mm,-45.000000mm,90.000000,top
C8,20.000000mm,-48.500000mm,90.000000,top
C9,17.000000mm,-48.000000mm,0.000000,top
C10,20.000000mm,-53.500000mm,90.000000,top
C11,23.500000mm,-54.000000mm,90.000000,top
C12,23.500000mm,-57.000000mm,0.000000,top
C13,66.000000mm,-45.000000mm,90.000000,top
C14,66.000000mm,-48.500000mm,90.000000,top
C15,63.000000mm,-48.000000mm,0.000000,top
C16,14.000000mm,-41.500000mm,0.000000,top
C17,24.000000mm,-63.000000mm,0.000000,top
C18,60.000000mm,-41.500000mm,0.000000,top
C19,47.000000mm,-46.000000mm,90.000000,top
C20,54.000000mm,-46.000000mm,90.000000,top
C21,50.500000mm,-49.500000mm,180.000000,top
C22,53.700000mm,-21.800000mm,90.000000,top
C23,59.650000mm,-29.200000mm,180.000000,top
C24,20.950000mm,-22.750000mm,270.000000,top
C25,24.250000mm,-29.250000mm,90.000000,top
C26,63.500000mm,-60.250000mm,0.000000,top
C27,58.000000mm,-103.000000mm,0.000000,top
C28,61.500000mm,-101.000000mm,90.000000,top
C29,16.000000mm,-85.400000mm,180.000000,top
C30,16.000000mm,-93.000000mm,0.000000,top
C31,53.500000mm,-91.500000mm,0.000000,top
C32,21.750000mm,-44.750000mm,90.000000,top
C33,49.000000mm,-42.500000mm,0.000000,top
C34,29.750000mm,-35.250000mm,0.000000,top
C35,53.000000mm,-41.000000mm,90.000000,top
C36,54.000000mm,-49.000000mm,0.000000,top
C37,13.000000mm,-65.500000mm,0.000000,top
C38,17.000000mm,-65.500000mm,0.000000,top
C39,21.000000mm,-65.500000mm,0.000000,top
C40,60.200000mm,-59.900000mm,0.000000,top
C53,47.250000mm,-53.000000mm,0.000000,top
C55,32.250000mm,-40.000000mm,180.000000,top
C63,20.000000mm,-40.500000mm,90.000000,top
C64,23.000000mm,-34.750000mm,90.000000,top
C70,47.250000mm,-83.750000mm,90.000000,top
C71,49.000000mm,-85.250000mm,90.000000,top
C72,41.750000mm,-83.750000mm,90.000000,top
C73,47.500000mm,-22.000000mm,0.000000,top
C74,51.250000mm,-22.000000mm,0.000000,top
C75,62.000000mm,-17.250000mm,0.000000,top
C76,44.250000mm,-26.250000mm,90.000000,top
C77,27.750000mm,-76.000000mm,0.000000,top
C78,29.250000mm,-68.000000mm,0.000000,top
C79,27.500000mm,-78.000000mm,0.000000,top
C80,36.800000mm,-52.600000mm,0.000000,top
C81,29.250000mm,-70.250000mm,0.000000,top
C82,26.500000mm,-68.500000mm,90.000000,top
C83,48.800000mm,-72.820000mm,0.000000,top
C84,48.800000mm,-76.400000mm,0.000000,top
C85,48.800000mm,-74.600000mm,0.000000,top
C86,48.800000mm,-71.040000mm,0.000000,top
C87,46.500000mm,-54.800000mm,0.000000,top
C88,26.600000mm,-22.900000mm,0.000000,top
C89,61.000000mm,-54.000000mm,90.000000,top
D1,17.000000mm,-19.000000mm,180.000000,top
D2,17.000000mm,-69.500000mm,0.000000,top
D3,66.800000mm,-60.100000mm,90.000000,top
D4,53.000000mm,-62.800000mm,0.000000,top
D5,42.250000mm,-26.750000mm,0.000000,top
J1,40.000000mm,-4.000000mm,180.000000,top
J2,17.000000mm,-35.000000mm,0.000000,top
J3,17.000000mm,-60.000000mm,0.000000,top
J4,63.000000mm,-35.000000mm,0.000000,top
J6,28.000000mm,-18.500000mm,180.000000,top
J8,63.000000mm,-70.000000mm,0.000000,top
J10,72.000000mm,-91.000000mm,0.000000,top
L1,64.400000mm,-23.250000mm,0.000000,top
Q1,27.000000mm,-30.500000mm,0.000000,top
Q2,31.000000mm,-32.750000mm,180.000000,top
Q3,56.000000mm,-41.000000mm,0.000000,top
R3,50.000000mm,-89.000000mm,90.000000,top
R4,30.500000mm,-81.750000mm,90.000000,top
R5,41.050000mm,-86.750000mm,90.000000,top
R6,39.400000mm,-86.750000mm,90.000000,top
R7,30.750000mm,-79.250000mm,0.000000,top
R8,14.000000mm,-45.000000mm,90.000000,top
R9,14.000000mm,-48.500000mm,90.000000,top
R10,14.000000mm,-51.000000mm,0.000000,top
R11,17.500000mm,-51.500000mm,0.000000,top
R12,23.000000mm,-50.500000mm,0.000000,top
R14,11.500000mm,-52.500000mm,90.000000,top
R15,14.500000mm,-53.500000mm,90.000000,top
R16,26.250000mm,-53.000000mm,0.000000,top
R17,26.500000mm,-56.000000mm,270.000000,top
R18,25.500000mm,-50.000000mm,90.000000,top
R20,60.000000mm,-45.000000mm,90.000000,top
R21,60.000000mm,-48.500000mm,90.000000,top
R22,60.000000mm,-51.000000mm,0.000000,top
R23,63.500000mm,-51.500000mm,0.000000,top
R24,65.000000mm,-40.500000mm,90.000000,top
R25,53.500000mm,-28.700000mm,0.000000,top
R26,55.500000mm,-31.100000mm,0.000000,top
R27,56.000000mm,-28.000000mm,90.000000,top
R28,68.250000mm,-20.500000mm,90.000000,top
R29,13.000000mm,-24.000000mm,0.000000,top
R30,16.500000mm,-24.000000mm,0.000000,top
R31,12.500000mm,-26.500000mm,90.000000,top
R32,14.400000mm,-26.500000mm,90.000000,top
R33,16.300000mm,-26.500000mm,90.000000,top
R34,18.200000mm,-26.500000mm,90.000000,top
R35,20.100000mm,-26.500000mm,90.000000,top
R36,55.500000mm,-52.500000mm,90.000000,top
R37,57.500000mm,-52.500000mm,90.000000,top
R38,59.500000mm,-53.500000mm,90.000000,top
R39,63.500000mm,-54.000000mm,90.000000,top
R40,68.500000mm,-54.000000mm,90.000000,top
R41,63.500000mm,-58.000000mm,90.000000,top
R42,66.000000mm,-53.100000mm,0.000000,top
