Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF/25V","C_0805_2012Metric",57.900000,-25.500000,90.000000,top
"C2","10uF/25V","C_0805_2012Metric",67.700000,-25.500000,-90.000000,top
"C3","10uF/25V","C_0805_2012Metric",64.500000,-28.700000,0.000000,top
"C4","1uF/50V","C_0603_1608Metric",53.000000,-89.000000,90.000000,top
"C5","10uF/25V","C_0805_2012Metric",50.000000,-97.500000,90.000000,top
"C6","100nF","C_0603_1608Metric",50.000000,-101.000000,90.000000,top
"C7","100nF","C_0603_1608Metric",20.000000,-45.000000,90.000000,top
"C8","10uF/25V","C_0805_2012Metric",20.000000,-48.500000,90.000000,top
"C9","100nF","C_0603_1608Metric",17.000000,-48.000000,0.000000,top
"C10","100nF","C_0603_1608Metric",20.000000,-53.500000,90.000000,top
"C11","10uF/25V","C_0805_2012Metric",23.500000,-54.000000,90.000000,top
"C12","100nF","C_0603_1608Metric",23.500000,-57.000000,0.000000,top
"C13","100nF","C_0603_1608Metric",66.000000,-45.000000,90.000000,top
"C14","10uF/25V","C_0805_2012Metric",66.000000,-48.500000,90.000000,top
"C15","100nF","C_0603_1608Metric",63.000000,-48.000000,0.000000,top
"C16","100nF","C_0603_1608Metric",14.000000,-41.500000,0.000000,top
"C17","100nF","C_0603_1608Metric",24.000000,-63.000000,0.000000,top
"C18","100nF","C_0603_1608Metric",60.000000,-41.500000,0.000000,top
"C19","1uF/50V","C_0603_1608Metric",47.000000,-46.000000,90.000000,top
"C20","1uF/50V","C_0603_1608Metric",54.000000,-46.000000,90.000000,top
"C21","1uF/50V","C_0603_1608Metric",50.500000,-49.500000,180.000000,top
"C22","100nF","C_0603_1608Metric",53.700000,-21.800000,90.000000,top
"C23","10uF/25V","C_0805_2012Metric",59.650000,-29.200000,180.000000,top
"C24","1uF/50V","C_0603_1608Metric",20.950000,-22.750000,-90.000000,top
"C25","10nF","C_0603_1608Metric",24.250000,-29.250000,90.000000,top
"C26","10nF","C_0603_1608Metric",63.500000,-60.250000,0.000000,top
"C27","1uF/50V","C_0603_1608Metric",58.000000,-103.000000,0.000000,top
"C28","100nF","C_0603_1608Metric",61.500000,-101.000000,90.000000,top
"C29","100nF","C_0603_1608Metric",16.000000,-85.400000,180.000000,top
"C30","100nF","C_0603_1608Metric",16.000000,-93.000000,0.000000,top
"C31","100nF","C_0603_1608Metric",53.500000,-91.500000,0.000000,top
"C32","100nF","C_0603_1608Metric",21.750000,-44.750000,90.000000,top
"C33","100nF","C_0603_1608Metric",49.000000,-42.500000,0.000000,top
"C34","100nF","C_0603_1608Metric",29.750000,-35.250000,0.000000,top
"C35","100nF","C_0603_1608Metric",53.000000,-41.000000,90.000000,top
"C36","100nF","C_0603_1608Metric",54.000000,-49.000000,0.000000,top
"C37","10uF/25V","C_0805_2012Metric",13.000000,-65.500000,0.000000,top
"C38","10uF/25V","C_0805_2012Metric",17.000000,-65.500000,0.000000,top
"C39","10uF/25V","C_0805_2012Metric",21.000000,-65.500000,0.000000,top
"C40","10uF/25V","C_0805_2012Metric",60.200000,-59.900000,0.000000,top
"C53","100nF","C_0603_1608Metric",47.250000,-53.000000,0.000000,top
"C55","100nF","C_0603_1608Metric",32.250000,-40.000000,180.000000,top
"C63","1uF/50V","C_0603_1608Metric",20.000000,-40.500000,90.000000,top
"C64","100nF","C_0603_1608Metric",23.000000,-34.750000,90.000000,top
"C70","100nF","C_0603_1608Metric",47.250000,-83.750000,90.000000,top
"C71","2.2uF/10V","C_0603_1608Metric",49.000000,-85.250000,90.000000,top
"C72","10nF","C_0603_1608Metric",41.750000,-83.750000,90.000000,top
"C73","10uF/25V","C_0805_2012Metric",47.500000,-22.000000,0.000000,top
"C74","10uF/25V","C_0805_2012Metric",51.250000,-22.000000,0.000000,top
"C75","100nF","C_0603_1608Metric",62.000000,-17.250000,0.000000,top
"C76","100nF","C_0603_1608Metric",44.250000,-26.250000,90.000000,top
"C77","10uF/25V","C_0805_2012Metric",27.750000,-76.000000,0.000000,top
"C78","10uF/25V","C_0805_2012Metric",29.250000,-68.000000,0.000000,top
"C79","1nF/50V","C_0603_1608Metric",27.500000,-78.000000,0.000000,top
"C80","100nF","C_0603_1608Metric",36.800000,-52.600000,0.000000,top
"C81","2.2uF/10V","C_0603_1608Metric",29.250000,-70.250000,0.000000,top
"C82","2.2uF/10V","C_0603_1608Metric",26.500000,-68.500000,90.000000,top
"C83","100nF","C_0603_1608Metric",48.800000,-72.820000,0.000000,top
"C84","4.7uF/10V","C_0603_1608Metric",48.800000,-76.400000,0.000000,top
"C85","100nF","C_0603_1608Metric",48.800000,-74.600000,0.000000,top
"C86","100nF","C_0603_1608Metric",48.800000,-71.040000,0.000000,top
"C87","100nF","C_0603_1608Metric",46.500000,-54.800000,0.000000,top
"C88","10uF/25V","C_0805_2012Metric",26.600000,-22.900000,0.000000,top
"C89","1uF/50V","C_0603_1608Metric",61.000000,-54.000000,90.000000,top
"D1","SMBJ12A","D_SMB",17.000000,-19.000000,180.000000,top
"D2","SMBJ6.0A","D_SMB",17.000000,-69.500000,0.000000,top
"D3","BAT54-7-F","SOT-23",66.800000,-60.100000,90.000000,top
"D4","BAT54-7-F","SOT-23",53.000000,-62.800000,0.000000,top
"D5","SK6805-EC15","OPSCO_SK6805_EC15",42.250000,-26.750000,0.000000,top
"J1","TYPE-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",40.000000,-4.000000,180.000000,top
"J2","COIL_L","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",17.000000,-35.000000,0.000000,top
"J3","COIL_M","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",17.000000,-60.000000,0.000000,top
"J4","COIL_R","JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical",63.000000,-35.000000,0.000000,top
"J6","ENCODER_8P","JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal",28.000000,-18.500000,180.000000,top
"J8","WHEEL_SIGNAL_30P","Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal",63.000000,-70.000000,0.000000,top
"J10","WHEEL_POWER_2P","JST_PA_SM02B-PASS_1x02_P2.00mm_Horizontal",72.000000,-91.000000,0.000000,top
