Designator,Comment,Reason,MPN,LCSC Part #
TP1,VBUS_USB,Excluded from source BOM (PCB copper/test access),,
TP2,PWR_5V,Excluded from source BOM (PCB copper/test access),,
TP3,ACT_5V,Excluded from source BOM (PCB copper/test access),,
TP4,UART_TX,Excluded from source BOM (PCB copper/test access),,
TP5,UART_RX,Excluded from source BOM (PCB copper/test access),,
TP6,MCU_EN,Excluded from source BOM (PCB copper/test access),,
TP7,BOOT,Excluded from source BOM (PCB copper/test access),,
TP8,+3V3,Excluded from source BOM (PCB copper/test access),,
TP9,GND,Excluded from source BOM (PCB copper/test access),,
TP10,VBUS_USB,Excluded from source BOM (PCB copper/test access),,
TP11,PWR_5V,Excluded from source BOM (PCB copper/test access),,
TP12,ACT_5V,Excluded from source BOM (PCB copper/test access),,
TP13,ACT_DRIVE_EN,Excluded from source BOM (PCB copper/test access),,
TP14,USB_ILM,Excluded from source BOM (PCB copper/test access),,
TP15,GND,Excluded from source BOM (PCB copper/test access),,
TP16,CS_PAW,Excluded from source BOM (PCB copper/test access),,
TP17,WHEEL_RUN_REQ,Excluded from source BOM (PCB copper/test access),,
TP18,CS_IMU,Excluded from source BOM (PCB copper/test access),,
TP19,OPT_CTRL,Excluded from source BOM (PCB copper/test access),,
TP20,MOTOR_SPI_MOSI,Excluded from source BOM (PCB copper/test access),,
TP21,MOTOR_SPI_SCLK,Excluded from source BOM (PCB copper/test access),,
TP22,MOTOR_SPI_MISO,Excluded from source BOM (PCB copper/test access),,
TP23,CS_ADC2,Excluded from source BOM (PCB copper/test access),,
TP24,CS_MA735,Excluded from source BOM (PCB copper/test access),,
TP25,CS_DRV8316,Excluded from source BOM (PCB copper/test access),,
TP26,PAW_MOTION_N,Excluded from source BOM (PCB copper/test access),,
TP27,IMU_INT1,Excluded from source BOM (PCB copper/test access),,
TP28,DRV_FAULT_N,Excluded from source BOM (PCB copper/test access),,
TP29,WHEEL_PWM_A,Excluded from source BOM (PCB copper/test access),,
TP30,RGB_DATA,Excluded from source BOM (PCB copper/test access),,
TP31,BOOT_SAFE_SPARE,Excluded from source BOM (PCB copper/test access),,
TP32,WHEEL_PWM_B,Excluded from source BOM (PCB copper/test access),,
TP33,WHEEL_PWM_C,Excluded from source BOM (PCB copper/test access),,
TP38,RGB_5V,Excluded from source BOM (PCB copper/test access),,
TP39,RGB_DIN,Excluded from source BOM (PCB copper/test access),,
TP40,OPT_3V3,Excluded from source BOM (PCB copper/test access),,
TP41,OPT_1V9,Excluded from source BOM (PCB copper/test access),,
TP42,OPT_VDDPIX,Excluded from source BOM (PCB copper/test access),,
TP43,OPT_RESET_N,Excluded from source BOM (PCB copper/test access),,
U35,PMW3360DM-T2QU,PMW3360DM-T2QU: customer-supplied/post-assembly optical sensor; catalog stock unavailable in recorded sourcing review,PMW3360DM-T2QU,C20612443
