Designator,MPN,LCSC Part #,Units for 5 boards,Quote treatment,Recorded sourcing status,Supplier URL
C1,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C2,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C3,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C4,CL10A105KB8NNNC,C15849,5,JLC matching pending,JLCPCB catalog verified; stock/quote refresh required,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849
C5,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C6,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C7,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C8,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C9,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C10,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C11,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C12,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C13,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C14,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C15,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C16,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C17,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C18,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C19,CL10A105KB8NNNC,C15849,5,JLC matching pending,JLCPCB catalog verified; stock/quote refresh required,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849
C20,CL10A105KB8NNNC,C15849,5,JLC matching pending,JLCPCB catalog verified; stock/quote refresh required,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849
C21,CL10A105KB8NNNC,C15849,5,JLC matching pending,JLCPCB catalog verified; stock/quote refresh required,https://jlcpcb.com/partdetail/16531-CL10A105KB8NNNC/C15849
C22,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C23,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C24,CL10A105KB8NNNC,C15849,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15849.html
C25,0603B103K500NT,C57112,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C57112.html
C26,0603B103K500NT,C57112,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C57112.html
C27,CL10A105KB8NNNC,C15849,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15849.html
C28,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C29,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C30,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C31,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C32,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C33,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C34,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C35,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C36,CC0603KRX7R9BB104,C14663,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C14663.html
C37,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C38,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C39,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C40,CL21A106KAYNNNE,C15850,5,JLC matching pending,LCSC listing verified; JLC stock check pending,https://www.lcsc.com/product-detail/C15850.html
C53,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C55,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C63,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C64,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C70,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C14663.html
C71,CL10B225KP8NNNC,C100082,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C100082.html
C72,CL10B103KB8NNNC,C1589,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C1589.html
C73,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C15850.html
C74,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C15850.html
C75,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C14663.html
C76,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C14663.html
C77,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C15850.html
C78,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C15850.html
C79,CL10B102KB8NNNC,C1588,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C1588.html
C80,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; verify effective capacitance under DC bias,https://www.lcsc.com/product-detail/C14663.html
