Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0001,e65e1e9f-a85e-430c-9ba4-8710121713e9,11.5,51.65,11.5,-51.65,0.2,0.45,GND,R14.2@F.Cu
V0012,185a9470-f3d9-47a5-ad84-ec753cba56ad,13.4,87.75,13.4,-87.75,0.2,0.45,ACT_REQ,U16.2@F.Cu
V0059,ee319cfa-f2ff-42ce-8a89-ba7fc88803e4,18.0,90.3,18.0,-90.3,0.3,0.6,SOURCE_OK,U16.9@F.Cu
V0130,5bdb6dc9-e403-4ef8-98ea-d05e7f40b3f6,23.4,46.15,23.4,-46.15,0.2,0.45,CC_OUT2,U14.3@F.Cu
V0138,e4252091-c6e1-4013-ae2a-c19d0d38aabb,24.1,49.95,24.1,-49.95,0.2,0.45,GND,R12.2@F.Cu
V0144,eec12eb5-8327-4bc1-9e09-e37bc80a2f8a,24.65,85.95,24.65,-85.95,0.2,0.45,ACT_HEARTBEAT,R47.1@F.Cu
V0148,a9e69fa6-b40c-4442-826b-90bf055e0d7a,24.75,20.4,24.75,-20.4,0.2,0.45,ENC_MISO_LOCAL,J6.8@F.Cu
V0149,f2727984-e658-4273-a25f-063f8a929b28,24.75,45.55,24.75,-45.55,0.2,0.45,+3V3,U14.5@F.Cu
V0159,f3f550db-65b4-417d-a26d-134336d6bde6,25.3,42.95,25.3,-42.95,0.2,0.45,ENC_SCLK_LOCAL,U29.3@F.Cu
V0162,a06cd36a-747f-4878-8d4c-cd7900d30fbb,25.5,20.5,25.5,-20.5,0.2,0.45,GND,J6.7@F.Cu
V0172,a481296e-ecfa-4493-82ef-f1ef25956ed7,26.0,43.6125,26.0,-43.6125,0.2,0.45,GND,U29.4@F.Cu
V0176,238f4cc2-93f3-48b5-89bf-f82d6a5e36d1,26.15,86.0,26.15,-86.0,0.2,0.45,GND,R47.2@F.Cu
V0191,b468106e-f576-46bc-ba27-8074e24721d9,26.8,20.8,26.8,-20.8,0.2,0.45,ENC_CS_LOCAL,J6.6@F.Cu
V0194,f55147b1-7080-4f47-b739-c7483bd7f96e,26.9,75.3,26.9,-75.3,0.2,0.45,+3V3,C77.1@F.Cu
V0196,255fe898-61eb-4b93-8037-07d676359fb1,27.0,76.6,27.0,-76.6,0.2,0.45,+3V3,C77.1@F.Cu
V0197,b66e5c6d-a95a-430b-8607-2da188d6d858,27.05,72.3,27.05,-72.3,0.2,0.45,+3V3,U38.1@F.Cu
V0203,b605b7aa-ec92-44c4-944d-9768ce74af83,27.3,43.1,27.3,-43.1,0.2,0.45,ENC_MOSI_LOCAL,U29.6@F.Cu
V0209,e3ca5efe-1f12-449a-b747-b12a0a881d60,27.5,20.5,27.5,-20.5,0.2,0.45,ENC_MOSI_LOCAL,J6.5@F.Cu
V0226,1a7b35d5-e6a1-4fe0-b586-3f7602cff653,28.5,76.45,28.5,-76.45,0.2,0.45,GND,C77.2@F.Cu
V0232,1f3b3527-4eb7-4757-8da4-289bc37973a8,28.75,80.9,28.75,-80.9,0.2,0.45,CS_PAW,R72.2@F.Cu;TP16.1@B.Cu
