Designator,Mid X,Mid Y,Rotation,Layer
C41,23.000000mm,-29.600000mm,180.000000,top
C42,23.000000mm,-31.300000mm,180.000000,top
C43,23.000000mm,-33.000000mm,180.000000,top
C44,17.000000mm,-27.500000mm,90.000000,top
C45,20.000000mm,-33.500000mm,90.000000,top
C46,20.500000mm,-26.000000mm,90.000000,top
C47,23.000000mm,-27.250000mm,90.000000,top
C48,33.000000mm,-29.500000mm,90.000000,top
C49,31.400000mm,-29.500000mm,90.000000,top
C50,19.500000mm,-22.500000mm,90.000000,top
C51,35.000000mm,-34.000000mm,90.000000,top
C52,45.500000mm,-19.500000mm,0.000000,top
C54,42.500000mm,-9.500000mm,0.000000,top
C56,22.500000mm,-16.500000mm,90.000000,top
C57,22.000000mm,-13.500000mm,90.000000,top
C58,26.000000mm,-12.000000mm,90.000000,top
C59,23.000000mm,-19.500000mm,180.000000,top
C60,26.000000mm,-19.500000mm,0.000000,top
C61,29.000000mm,-19.500000mm,0.000000,top
C65,17.000000mm,-35.000000mm,90.000000,top
C66,5.500000mm,-36.500000mm,0.000000,top
C67,15.000000mm,-34.800000mm,90.000000,top
C68,6.000000mm,-41.000000mm,90.000000,top
C69,17.000000mm,-42.000000mm,90.000000,top
C90,8.000000mm,-21.000000mm,0.000000,top
D6,17.000000mm,-8.000000mm,90.000000,top
J9,38.000000mm,-5.000000mm,180.000000,top
J11,8.000000mm,-9.000000mm,0.000000,top
Q4,32.000000mm,-40.000000mm,0.000000,top
Q5,12.000000mm,-44.000000mm,0.000000,top
R81,22.000000mm,-23.000000mm,90.000000,top
R82,32.000000mm,-36.800000mm,0.000000,top
R83,35.000000mm,-39.000000mm,90.000000,top
R84,32.000000mm,-34.000000mm,90.000000,top
R86,45.000000mm,-23.500000mm,90.000000,top
R87,43.500000mm,-30.000000mm,90.000000,top
R88,47.000000mm,-28.000000mm,0.000000,top
R89,48.500000mm,-26.000000mm,0.000000,top
R90,37.000000mm,-30.000000mm,90.000000,top
R91,39.000000mm,-30.000000mm,90.000000,top
R92,41.000000mm,-30.000000mm,90.000000,top
R94,33.500000mm,-22.500000mm,90.000000,top
R95,34.000000mm,-25.500000mm,90.000000,top
R96,33.000000mm,-9.500000mm,0.000000,top
R97,30.000000mm,-9.500000mm,0.000000,top
R98,34.000000mm,-18.500000mm,90.000000,top
R100,31.500000mm,-18.000000mm,90.000000,top
R102,23.700000mm,-22.000000mm,90.000000,top
R103,25.500000mm,-22.000000mm,90.000000,top
R104,27.300000mm,-22.000000mm,90.000000,top
R105,30.500000mm,-14.500000mm,0.000000,top
R106,30.500000mm,-12.500000mm,0.000000,top
R107,19.000000mm,-15.000000mm,90.000000,top
R108,19.000000mm,-18.000000mm,90.000000,top
R109,22.000000mm,-10.000000mm,0.000000,top
R111,5.000000mm,-29.000000mm,90.000000,top
R112,10.000000mm,-29.000000mm,0.000000,top
R113,10.000000mm,-31.500000mm,0.000000,top
R114,13.500000mm,-32.000000mm,90.000000,top
R115,17.000000mm,-37.800000mm,0.000000,top
R116,20.500000mm,-37.800000mm,0.000000,top
R117,17.000000mm,-32.000000mm,90.000000,top
R119,11.000000mm,-40.500000mm,0.000000,top
R120,14.000000mm,-40.000000mm,90.000000,top
R121,7.000000mm,-49.000000mm,0.000000,top
R122,17.000000mm,-49.000000mm,0.000000,top
R123,7.000000mm,-55.000000mm,0.000000,top
R124,17.000000mm,-55.000000mm,0.000000,top
R137,44.000000mm,-44.000000mm,90.000000,top
R138,47.000000mm,-35.000000mm,0.000000,top
R139,47.000000mm,-37.000000mm,0.000000,top
R140,47.000000mm,-39.000000mm,0.000000,top
R144,47.000000mm,-23.000000mm,90.000000,top
R145,45.000000mm,-14.000000mm,90.000000,top
R146,14.000000mm,-21.000000mm,90.000000,top
U21,27.500000mm,-28.000000mm,0.000000,top
U22,40.000000mm,-38.000000mm,90.000000,top
U23,26.000000mm,-16.000000mm,180.000000,top
U24,40.000000mm,-24.000000mm,0.000000,top
U26,38.000000mm,-14.000000mm,0.000000,top
U30,12.000000mm,-36.000000mm,180.000000,top
U31,7.000000mm,-33.000000mm,0.000000,top
