Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0001,81275a36-cf26-437d-8ed1-f9a7df257481,3.2375,51.0,3.2375,-51.0,0.3,0.6,ACT_5V,
V0002,e098337d-6da7-4461-9d29-10646b45c7ae,3.2375,57.0,3.2375,-57.0,0.3,0.6,ACT_5V,
V0003,cc99a196-1920-4334-b148-9e01f3256d40,4.037499,51.0,4.037499,-51.0,0.3,0.6,ACT_5V,
V0004,fbc7eab5-9563-42d4-97ea-215de9b93b51,4.037499,57.0,4.037499,-57.0,0.3,0.6,ACT_5V,
V0005,906e09ca-bf68-4150-a7e9-34fb349474a1,4.5,18.5,4.5,-18.5,0.3,0.6,ACT_5V,
V0006,7d26cb63-7777-4e86-b8ef-56cbf0107625,4.837499,51.0,4.837499,-51.0,0.3,0.6,ACT_5V,
V0007,20fe3c2c-c24f-41f2-887f-25229070e3e1,4.837499,57.0,4.837499,-57.0,0.3,0.6,ACT_5V,
V0008,0d770073-67e3-48ea-87bf-d5bcc200e02f,5.3,18.5,5.3,-18.5,0.3,0.6,ACT_5V,
V0009,65416d4b-a419-4d6c-a9c7-256861e16986,5.6,12.0,5.6,-12.0,0.3,0.6,GND,
V0010,19e21868-31a2-4ddd-9312-ab02cc4e02eb,6.0,39.1,6.0,-39.1,0.3,0.6,GND,
V0011,aadd32e7-38c1-402c-8e2f-6099729db538,6.05,33.2,6.05,-33.2,0.3,0.6,GND,
V0012,e4684824-2e8a-4ce2-a04d-56b03cb9a881,6.1,18.5,6.1,-18.5,0.3,0.6,ACT_5V,
V0013,4651c169-ac4b-435b-afe6-e6ed86de8b4e,6.4,12.0,6.4,-12.0,0.3,0.6,GND,
V0014,9dcdaabd-9a92-451a-b2cc-7cc2f9abc5a6,7.15,36.5,7.15,-36.5,0.3,0.6,GND,
V0015,94f16d3a-f5c6-4957-923b-516901aa0927,7.2,12.0,7.2,-12.0,0.3,0.6,GND,
V0016,e2ef866f-16cc-4709-a5f7-60f3819b0ad1,7.4,43.7,7.4,-43.7,0.3,0.6,GND,
V0017,48a648e4-7ae0-4838-b6ad-105e53db9d67,8.199999,43.7,8.199999,-43.7,0.3,0.6,GND,
V0018,ce985ae9-fca3-46ed-993a-c968a770e151,9.0,12.0,9.0,-12.0,0.3,0.6,ACT_5V,
V0019,8266eb4c-0bae-4cee-a3f4-08e5f79c2a8b,9.0,43.7,9.0,-43.7,0.3,0.6,GND,
V0020,51ab975b-1e6d-469a-bee5-17337da27ae7,9.8,12.0,9.8,-12.0,0.3,0.6,ACT_5V,
V0021,94b0aa89-1874-41e4-ac93-aaea5c3e805b,10.6,12.0,10.6,-12.0,0.3,0.6,ACT_5V,
V0022,35aaf0b1-11c1-4e90-88cc-76a943a9fa53,11.5,21.0,11.5,-21.0,0.3,0.6,GND,C90.2@F.Cu
