Ref,Val,Package,PosX,PosY,Rot,Side
"C41","100nF","C_0603_1608Metric",23.000000,-29.600000,180.000000,top
"C42","100nF","C_0603_1608Metric",23.000000,-31.300000,180.000000,top
"C43","100nF","C_0603_1608Metric",23.000000,-33.000000,180.000000,top
"C44","10uF/25V","C_0805_2012Metric",17.000000,-27.500000,90.000000,top
"C45","10uF/25V","C_0805_2012Metric",20.000000,-33.500000,90.000000,top
"C46","1uF/50V","C_0603_1608Metric",20.500000,-26.000000,90.000000,top
"C47","47nF/50V","C_0603_1608Metric",23.000000,-27.250000,90.000000,top
"C48","1uF/50V","C_0603_1608Metric",33.000000,-29.500000,90.000000,top
"C49","100nF","C_0603_1608Metric",31.400000,-29.500000,90.000000,top
"C50","22uF/25V","C_0805_2012Metric",19.500000,-22.500000,90.000000,top
"C51","100nF","C_0603_1608Metric",35.000000,-34.000000,90.000000,top
"C52","100nF","C_0603_1608Metric",45.500000,-19.500000,0.000000,top
"C54","100nF","C_0603_1608Metric",42.500000,-9.500000,0.000000,top
"C56","1uF/50V","C_0603_1608Metric",22.500000,-16.500000,90.000000,top
"C57","1uF/50V","C_0603_1608Metric",22.000000,-13.500000,90.000000,top
"C58","1uF/50V","C_0603_1608Metric",26.000000,-12.000000,90.000000,top
"C59","22pF/50V","C_0603_1608Metric",23.000000,-19.500000,180.000000,top
"C60","22pF/50V","C_0603_1608Metric",26.000000,-19.500000,0.000000,top
"C61","22pF/50V","C_0603_1608Metric",29.000000,-19.500000,0.000000,top
"C65","100nF","C_0603_1608Metric",17.000000,-35.000000,90.000000,top
"C66","100nF","C_0603_1608Metric",5.500000,-36.500000,0.000000,top
"C67","22pF/50V","C_0603_1608Metric",15.000000,-34.800000,90.000000,top
"C68","10uF/25V","C_0805_2012Metric",6.000000,-41.000000,90.000000,top
"C69","10uF/25V","C_0805_2012Metric",17.000000,-42.000000,90.000000,top
"C90","100uF/16V","CP_Elec_6.3x5.9",8.000000,-21.000000,0.000000,top
"D6","SMBJ6.0A","D_SMB",17.000000,-8.000000,90.000000,top
"J9","WHEEL_SIGNAL_30P","Hirose_FH12-30S-0.5SH_1x30-1MP_P0.50mm_Horizontal",38.000000,-5.000000,180.000000,top
"J11","WHEEL_POWER_2P","JST_PA_SM02B-PASS_1x02_P2.00mm_Horizontal",8.000000,-9.000000,0.000000,top
"Q4","2N7002","SOT-23",32.000000,-40.000000,0.000000,top
"Q5","AO3400A","SOT-23",12.000000,-44.000000,0.000000,top
"R81","22R","R_0603_1608Metric",22.000000,-23.000000,90.000000,top
"R82","10k","R_0603_1608Metric",32.000000,-36.800000,0.000000,top
"R83","100k","R_0603_1608Metric",35.000000,-39.000000,90.000000,top
"R84","10k","R_0603_1608Metric",32.000000,-34.000000,90.000000,top
"R86","10k","R_0603_1608Metric",45.000000,-23.500000,90.000000,top
"R87","4.7k","R_0603_1608Metric",43.500000,-30.000000,90.000000,top
"R88","4.7k","R_0603_1608Metric",47.000000,-28.000000,0.000000,top
"R89","100k","R_0603_1608Metric",48.500000,-26.000000,0.000000,top
"R90","100k","R_0603_1608Metric",37.000000,-30.000000,90.000000,top
"R91","100k","R_0603_1608Metric",39.000000,-30.000000,90.000000,top
"R92","100k","R_0603_1608Metric",41.000000,-30.000000,90.000000,top
"R94","100k","R_0603_1608Metric",33.500000,-22.500000,90.000000,top
"R95","100k","R_0603_1608Metric",34.000000,-25.500000,90.000000,top
