Designator,MPN,LCSC Part #,Units for 5 boards,Quote treatment,Recorded sourcing status,Supplier URL
C41,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C42,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C43,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C44,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15850.html
C45,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15850.html
C46,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C47,CL10B473KB8NNNC,C1622,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C1622.html
C48,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C49,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C50,CL21A226MAQNNNE,C45783,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C45783.html
C51,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C52,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C54,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C56,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C57,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C58,CL10A105KB8NNNC,C15849,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15849.html
C59,CL10C220JB8NNNC,C1653,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C1653.html
C60,CL10C220JB8NNNC,C1653,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C1653.html
C61,CL10C220JB8NNNC,C1653,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C1653.html
C65,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C66,CC0603KRX7R9BB104,C14663,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C14663.html
C67,CL10C220JB8NNNC,C1653,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C1653.html
C68,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15850.html
C69,CL21A106KAYNNNE,C15850,5,JLC matching pending,Catalog identity checked; capacitance under bias needs validation,https://www.lcsc.com/product-detail/C15850.html
C90,16SVPC100M,C136275,5,JLC matching pending,,
D6,SMBJ6.0A,C83270,5,JLC matching pending,,
J9,FH12-30S-0.5SH(55),C506793,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C506793
J11,SM02B-PASS-TB(LF)(SN),C495198,5,JLC matching pending,Catalog identity checked; stock and assembly quote not reserved,https://jlcpcb.com/partdetail/C495198
Q4,2N7002,C8545,5,JLC matching pending,Catalog identity checked; stock/assembly eligibility refresh required,https://www.lcsc.com/product-detail/C8545.html
