Via,UUID,KiCad X mm,KiCad Y mm,Gerber/CPL X mm,Gerber/CPL Y mm,Drill mm,Diameter mm,Net,SMD pad drill overlap
V0022,35aaf0b1-11c1-4e90-88cc-76a943a9fa53,11.5,21.0,11.5,-21.0,0.3,0.6,GND,C90.2@F.Cu
V0024,12b9e721-bfe2-443a-80aa-3aeb4599ab22,12.3,21.0,12.3,-21.0,0.3,0.6,GND,C90.2@F.Cu
V0027,ad1cbccc-be65-4236-943b-7dcbca992169,13.1375,36.0,13.1375,-36.0,0.3,0.6,GND,U30.2@F.Cu
V0043,1e111e7e-a4b3-4efd-a214-d300b5d2f505,17.0,34.225,17.0,-34.225,0.3,0.6,GND,C65.2@F.Cu
V0068,1eb41006-cb38-4474-bd7e-2d62a934af6a,24.4,16.25,24.4,-16.25,0.2,0.45,ADC2_CS_LOCAL,U23.11@F.Cu
V0070,2873d4bf-ae02-448b-90f9-106a867dc2cf,24.775,15.75,24.775,-15.75,0.2,0.45,DRV_AVDD,U23.10@F.Cu
V0073,805b94fc-84b1-48e6-b876-f661a70aec32,25.75,17.25,25.75,-17.25,0.2,0.45,ADC2_MOSI_LOCAL,U23.14@F.Cu
V0075,758d72ee-3bc7-493e-a56e-5fe0380c468e,26.0,16.0,26.0,-16.0,0.3,0.6,GND,U23.17@F.Cu
V0076,76d566ef-76e7-4055-81ff-4752f51a12e6,26.25,14.75,26.25,-14.75,0.2,0.45,ADC2_SPARE7,U23.6@F.Cu
V0077,3203f674-9c1b-4229-93f5-13338859b2ae,26.75,14.1,26.75,-14.1,0.2,0.45,ADC2_SPARE6,U23.5@F.Cu
V0078,63e8edce-98f5-45cb-8a2a-89930eb486cb,26.75,30.25,26.75,-30.25,0.3,0.6,GND,U21.41@F.Cu
V0079,25165e4e-a766-4798-9518-03825102e2e2,26.8,27.3,26.8,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0080,baf53280-a856-4514-a22a-162328546f09,26.8,28.0,26.8,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0081,bb8a9d57-ff9a-42c5-a516-f3f20d37b080,26.8,28.7,26.8,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0084,01e4e573-2341-41c6-a36b-884d0f22a3cb,27.25,24.75,27.25,-24.75,0.2,0.45,DRV_AVDD,U21.37@F.Cu
V0085,43a25d42-6eb8-425e-8aec-b0240713613f,27.5,27.3,27.5,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0086,21597515-6285-4b9c-a392-a253f36f1030,27.5,28.0,27.5,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0087,2b3340db-22b2-42c8-ae78-9473fbfbe2f9,27.5,28.7,27.5,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0088,2e3b7e1e-6a6e-45c9-8a3f-522bcebd31c1,27.7,15.25,27.7,-15.25,0.2,0.45,ADC2_SPARE5,U23.4@F.Cu
V0090,eb02ff30-637b-4761-a3b0-51aaf2ec0633,28.2,27.3,28.2,-27.3,0.3,0.6,GND,U21.41@F.Cu
V0091,bf36280b-3d3a-4d68-adce-a4ae148faa29,28.2,28.0,28.2,-28.0,0.3,0.6,GND,U21.41@F.Cu
V0092,a58277f6-15ca-43fe-ae62-74077e8186ac,28.2,28.7,28.2,-28.7,0.3,0.6,GND,U21.41@F.Cu
V0095,39c98bc9-ba62-4acc-ba61-cc666a00550d,28.25,30.25,28.25,-30.25,0.3,0.6,GND,U21.41@F.Cu
V0097,381f4bd2-5ac6-4fca-b419-64c95a405bcb,28.75,24.75,28.75,-24.75,0.2,0.45,DRV_MOSI_LOCAL,U21.34@F.Cu
V0098,f8e4f11e-b929-4b17-ab7a-f8739a148f81,29.1,28.25,29.1,-28.25,0.3,0.6,GND,U21.41@F.Cu
V0101,b3eda74e-7f21-40bd-ae9c-edb655015ce5,29.75,25.75,29.75,-25.75,0.2,0.45,DRV_INHC,U21.31@F.Cu
V0102,aa2f11cc-70fd-461d-8770-d86ae82b3d91,29.75,26.75,29.75,-26.75,0.2,0.45,DRV_INHB,U21.29@F.Cu
V0103,47d1a073-a5e4-4673-994b-988251795e0b,29.75,27.75,29.75,-27.75,0.2,0.45,DRV_INHA,U21.27@F.Cu
V0104,6de0d082-e303-4c49-ba42-61bcec643d72,29.75,28.75,29.75,-28.75,0.2,0.45,DRV_AVDD,U21.25@F.Cu
V0105,b670fb84-230e-4faa-b852-28ac36f17652,29.75,30.25,29.75,-30.25,0.2,0.45,DRV_FAULT_LOCAL_N,U21.22@F.Cu
V0138,d968020d-31bb-4ad8-95a4-e8dccf87da39,35.1375,12.05,35.1375,-12.05,0.2,0.45,GND,U26.1@F.Cu
V0149,393ca402-2029-4465-9709-e3c287d2a7f5,37.6375,22.05,37.6375,-22.05,0.2,0.45,GND,U24.1@F.Cu
V0153,58ef58e7-48a0-428f-910e-eb38ecf197eb,38.05,35.15,38.05,-35.15,0.2,0.45,+3V3,U22.14@F.Cu
V0161,602d1faa-477b-432d-bc62-28a741ec69ed,40.0,40.85,40.0,-40.85,0.2,0.45,WHEEL_PWM_A,U22.4@F.Cu
V0179,1be5c448-fb5e-4d0c-845e-2dd3c215a3f3,42.8625,23.35,42.8625,-23.35,0.2,0.45,GND,U24.12@F.Cu
V0180,b56d2bed-1109-4c45-8d7c-8a43800be862,42.8625,24.65,42.8625,-24.65,0.2,0.45,GND,U24.10@F.Cu
